Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-1166.362	-1292.514	126.152	1.210826	0.4200087	0.521772	0.478228	1.422479
6	-1170.241	-1296.273	126.0321	0.9532909	0.4448882	0.571194	0.428806	1.668122
12	-1167.523	-1292.816	125.2926	1.175627	0.6233332	0.494262	0.505738	1.831976
18	-1169.145	-1294.959	125.814	1.108976	0.7126994	0.595188	0.404812	1.415361
24	-1163.641	-1289.569	125.9284	1.287171	0.5614518	0.429464	0.570536	1.351658
30	-1171.779	-1298.417	126.6383	1.277453	0.4023306	0.435064	0.564936	0.9727324
36	-1177.818	-1303.996	126.178	1.247356	0.554671	0.454204	0.545796	1.186995
42	-1176.855	-1302.997	126.142	1.169233	0.3307745	0.493006	0.506994	1.595715
48	-1183.057	-1309.086	126.0284	0.8777071	0.4086068	0.542727	0.457273	1.77121
54	-1173.959	-1300.71	126.7506	0.9456088	0.3403457	0.52765	0.47235	1.284254
60	-1175.138	-1301.005	125.8664	1.146169	0.665092	0.401228	0.598772	1.394513
66	-1167.392	-1293.736	126.3438	1.164259	0.3861696	0.539111	0.460889	1.359822
72	-1170.866	-1296.698	125.8325	1.057922	0.2921216	0.431537	0.568463	1.9505
78	-1178.015	-1303.892	125.8767	0.9474541	0.5361253	0.452556	0.547444	1.673923
84	-1172.869	-1298.982	126.1132	0.8210176	0.4693324	0.405815	0.594185	1.673923
90	-1186.156	-1311.981	125.8244	0.908528	0.3682249	0.477027	0.522973	1.94411
96	-1170.978	-1296.793	125.8153	0.8545397	0.330894	0.433717	0.566283	2.038813
102	-1170.931	-1297.232	126.3008	0.9937876	0.3049403	0.499135	0.500865	1.649664
108	-1179.471	-1305.043	125.5717	0.924709	0.5195368	0.425929	0.574071	1.919399
114	-1176.921	-1302.958	126.0378	0.8259309	0.3238761	0.617414	0.382586	1.919399
120	-1168.15	-1294.585	126.4353	1.038744	0.3608187	0.576414	0.423586	1.426282
126	-1172.721	-1299.047	126.3263	1.104894	0.4047464	0.52131	0.47869	1.391808
132	-1168.797	-1294.823	126.0261	1.165045	0.5441926	0.52131	0.47869	1.391808
138	-1171.223	-1297.314	126.0908	1.165045	0.5037654	0.401336	0.598664	1.391808
