Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-1167.843	-1294.057	126.2143	1.09131	0.3653235	0.311646	0.688354	1.546232
6	-1169.723	-1295.497	125.774	1.1661	0.520251	0.409142	0.590858	1.608695
12	-1164.223	-1290.16	125.9372	1.275529	0.6375068	0.530777	0.469223	1.26433
18	-1162.046	-1288.484	126.4377	1.275529	0.4003336	0.43377	0.56623	1.166944
24	-1174.179	-1300.058	125.8797	1.239141	0.6046353	0.504033	0.495967	1.37744
30	-1172.045	-1298.255	126.2102	1.293491	0.2766467	0.373935	0.626065	1.546431
36	-1186.548	-1312.666	126.1176	1.275513	0.6091854	0.477982	0.522018	1.144336
42	-1172.155	-1298.502	126.3466	1.307967	0.4845162	0.500287	0.499713	1.083097
48	-1167.47	-1294.128	126.6579	1.26052	0.3190785	0.37086	0.62914	1.134461
54	-1174.113	-1300.441	126.3289	1.211776	0.4661899	0.384127	0.615873	1.21197
60	-1176.54	-1302.715	126.1749	1.446631	0.7036731	0.343691	0.656309	0.7629492
66	-1173.982	-1300.244	126.2621	1.275931	0.5367365	0.39633	0.60367	1.112002
72	-1176.928	-1303.516	126.5887	1.248077	0.3870812	0.441777	0.558223	1.078794
78	-1171.544	-1297.715	126.1707	1.23072	0.4230837	0.461948	0.538052	1.3881
84	-1169.658	-1295.763	126.1044	1.12952	0.3905397	0.574254	0.425746	1.561815
90	-1171.81	-1297.848	126.0381	0.9934943	0.4892679	0.457735	0.542265	1.579148
96	-1168.21	-1294.567	126.3563	1.162088	0.3669606	0.502411	0.497589	1.381985
102	-1166.483	-1292.853	126.3706	1.235794	0.3425236	0.502411	0.497589	1.352847
108	-1166.141	-1292.996	126.8556	1.237264	0.3425236	0.53416	0.46584	0.9130969
114	-1171.38	-1297.656	126.2761	1.46478	0.4034838	0.44382	0.55618	1.137132
120	-1175.301	-1301.229	125.9279	1.359705	0.5983458	0.616193	0.383807	1.248474
126	-1173.172	-1299.712	126.5406	1.291734	0.4184851	0.416324	0.583676	1.025598
132	-1167.27	-1293.746	126.4756	1.278515	0.4184851	0.549704	0.450296	1.09951
138	-1175.346	-1301.552	126.2057	1.10879	0.4184851	0.425831	0.574169	1.461656
144	-1155.965	-1282.527	126.5619	1.309212	0.3958245	0.402665	0.597335	1.029837
150	-1164.791	-1290.868	126.0773	1.168617	0.5100978	0.530761	0.469239	1.391488
156	-1169.051	-1295.197	126.1456	1.26973	0.413346	0.446592	0.553408	1.391488
162	-1173.435	-1299.553	126.1182	0.9938322	0.4565717	0.511886	0.488114	1.561354
168	-1176.195	-1301.827	125.6317	1.026831	0.5291178	0.431738	0.568262	1.798044
174	-1173.706	-1299.796	126.0905	0.9199305	0.3379172	0.532581	0.467419	1.798044
180	-1185.064	-1310.443	125.3782	1.195479	0.4971667	0.411985	0.588015	1.891802
186	-1177.491	-1302.651	125.1593	1.117113	0.7916621	0.504844	0.495156	1.813928
192	-1178.246	-1303.61	125.3637	1.023344	0.7916621	0.417022	0.582978	1.736966
198	-1176.834	-1302.434	125.6002	1.172444	0.7892958	0.417022	0.582978	1.457995
